2018-10-02,06:07:59,3.2,17.05,-99.55,4.0,"33 km al NOROESTE de SAN MARCOS, GRO",2018-10-02,11:07:59,verificado
2018-10-02,06:18:42,3.7,16.61,-95.01,74.0,"11 km al NORESTE de CD IXTEPEC, OAX",2018-10-02,11:18:42,verificado
2018-10-02,06:59:47,3.3,17.18,-101.38,8.0,"41 km al SUROESTE de PETATLAN, GRO",2018-10-02,11:59:47,verificado
2018-10-02,07:18:29,3.8,17.87,-101.97,15.0,"27 km al SURESTE de CD LAZARO CARDENAS, MICH",2018-10-02,12:18:29,verificado
2018-10-02,07:35:59,3.6,15.98,-99.02,10.0,"99 km al SURESTE de SAN MARCOS, GRO",2018-10-02,12:35:59,verificado
2018-10-02,08:42:08,2.8,32.39,-115.45,16.0,"29 km al SURESTE de SANTA ISABEL, BC",2018-10-02,13:42:08,verificado
2018-10-02,09:12:15,3.5,18.36,-100.45,56.0,"18 km al NOROESTE de ARCELIA, GRO",2018-10-02,14:12:15,verificado
2018-10-02,09:56:50,3.9,15.43,-94.45,16.0,"104 km al SUROESTE de TONALA, CHIS",2018-10-02,14:56:50,verificado
2018-10-02,09:57:46,3.4,16.39,-98.23,35.0,"20 km al NOROESTE de PINOTEPA NACIONAL, OAX",2018-10-02,14:57:46,verificado
2018-10-02,10:29:43,3.6,16.24,-94.87,16.0,"27 km al SUR de UNION HIDALGO, OAX",2018-10-02,15:29:43,verificado
2018-10-02,10:46:30,4.0,16.44,-95.01,76.0,"1 km al NORESTE de JUCHITAN DE ZARAGOZA, OAX",2018-10-02,15:46:30,verificado
2018-10-02,11:24:14,3.8,18.09,-103.23,5.0,"76 km al SUR de COALCOMAN, MICH",2018-10-02,16:24:14,verificado
2018-10-02,11:51:52,3.1,32.35,-115.5,6.0,"32 km al SUR de SANTA ISABEL, BC",2018-10-02,16:51:52,verificado
2018-10-02,11:52:24,3.1,32.35,-115.49,6.0,"32 km al SURESTE de SANTA ISABEL, BC",2018-10-02,16:52:24,verificado
2018-10-02,12:29:24,3.6,16.04,-98.41,15.0,"50 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-10-02,17:29:24,verificado
